"","prop","strength","tr.size","monophyly","chisq.p.value","topo.dist","trlen.dist","sd.trlen.dist"
"1","null","null","32","0","0.6020384822933","0.2","-0.00585828459540093","0.0138655368938579"
"2","null","null","64","0","0.431511561543324","1.4","0.00404418999278226","0.0140402659241678"
"3","eighth","mild","32","0","0.10046083581262","0.4","-0.0189109504025334","0.00695715787837452"
"4","eighth","mild","64","0","0","1.8","-0.0553015666695547","0.00999190752992127"
"5","eighth","strong","32","0","9.30840049018221e-07","0","-0.0174717212066682","0.0137146758236463"
"6","eighth","strong","64","0","0","1.2","-0.0820014742939122","0.0180003135073691"
"7","eighth","strongest","32","0","0","1","-0.246290785112322","0.121620666172279"
"8","eighth","strongest","64","0","0","2.8","-0.163407938211984","0.0303337077040863"
"9","half","mild","32","0","0","0","-0.250017028805196","0.0119448546688871"
"10","half","mild","64","0","0","2.4","-0.214947917288699","0.0314428598364478"
"11","half","strong","32","0","0","0.8","-0.359693318281541","0.0316405069378477"
"12","half","strong","64","0","0","2.4","-0.302880080934178","0.0374988182720503"
"13","half","strongest","32","0","0","2","-0.684244903913631","0.220884630497873"
"14","half","strongest","64","0","0","3.4","-0.515367557757026","0.0904768404745768"
